"Protein.id","query","Start","Stop","Strand","Element.symbol","Element.name","Scope","Type","Subtype","ARG.class","ARG.subclass","Method","Target.length","Reference.sequence.length","X..Coverage.of.reference","X..Identity.to.reference","Alignment.length","Closest.reference.accession","Closest.reference.name","HMM.accession","HMM.description","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","parent","parent_description","geneclass_argcompare"
NA,"GMGC10.057_109_808.SCLAV_1890",1,801,"+","lnu(B)","lincosamide nucleotidyltransferase Lnu(B)","core","AMR","AMR","LINCOSAMIDE","LINCOSAMIDE","EXACTX",267,267,100,100,267,"WP_002294514.1","lincosamide nucleotidyltransferase Lnu(B)",NA,NA,"ARO:3002836","lnuB","Strict","ARO:0000046,ARO:0000066","lincomycin,clindamycin","ARO:0000017,ARO:0000017","lincosamide antibiotic,lincosamide antibiotic","AMRFinderPlus-nt",100,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
NA,"GMGC10.057_130_357.UNKNOWN",151,702,"+","aac(6')-Ib-cr5","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5","core","AMR","AMR","AMINOGLYCOSIDE/QUINOLONE","AMIKACIN/KANAMYCIN/QUINOLONE/TOBRAMYCIN","ALLELEX",184,184,100,100,184,"WP_063840321.1","fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr5",NA,NA,"ARO:3005115","AAC(6')-Ib-cr5","Perfect","ARO:0000013,ARO:0000036,ARO:0000049,ARO:0000052","amikacin,ciprofloxacin,kanamycin A,tobramycin","ARO:0000001,ARO:0000016,ARO:0000016,ARO:0000016","fluoroquinolone antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000345","AAC(6')","aac"
NA,"GMGC10.057_139_360.FOSB",1,414,"+","fosA3","fosfomycin resistance glutathione transferase FosA3","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","ALLELEX",138,138,100,100,138,"WP_014839980.1","fosfomycin resistance glutathione transferase FosA3",NA,NA,"ARO:3002872","FosA3","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",100,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.057_141_863.QNR",1,642,"+","qnrD1","quinolone resistance pentapeptide repeat protein QnrD1","core","AMR","AMR","QUINOLONE","QUINOLONE","ALLELEX",214,214,100,100,214,"WP_012634451.1","quinolone resistance pentapeptide repeat protein QnrD1",NA,NA,"ARO:3002788","QnrD1","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","AMRFinderPlus-nt",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
NA,"GMGC10.057_145_319.FOSB",67,456,"+","fosA","FosA5 family fosfomycin resistance glutathione transferase","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","BLASTX",130,139,93.53,96.92,130,"WP_114473955.1","fosfomycin resistance glutathione transferase FosA9",NA,NA,"ARO:3003209","fosA5","Strict","ARO:0000036,ARO:3007149,ARO:3007382","ciprofloxacin,phosphonic acid antibiotic,gentamicin","ARO:0000001,ARO:0000016,ARO:3007149","fluoroquinolone antibiotic,aminoglycoside antibiotic,phosphonic acid antibiotic","AMRFinderPlus-nt",96.92,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.057_226_829.UNKNOWN",1,918,"+","aph(2'')-IIIa","aminoglycoside O-phosphotransferase APH(2'')-IIIa","core","AMR","AMR","AMINOGLYCOSIDE","AMIKACIN/GENTAMICIN/KANAMYCIN/TOBRAMYCIN","BLASTX",306,306,100,99.67,306,"WP_018659526.1","aminoglycoside O-phosphotransferase APH(2'')-IIIa",NA,NA,"ARO:3002636","APH(2'')-IIIa","Perfect","ARO:0000013,ARO:0000049,ARO:0000052,ARO:3004015","amikacin,kanamycin A,tobramycin,gentamicin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",99.67,"ARO:3000128","APH(2'')","aph"
NA,"GMGC10.057_238_852.UNKNOWN",64,951,"+","cblA","CblA family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","EXACTX",296,296,100,100,296,"WP_005827792.1","CblA family class A beta-lactamase",NA,NA,"ARO:3002999","CblA-1","Perfect","ARO:0000032,ARO:3004129","cephalosporin,cephaloridine","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.057_307_433.YJDB",1,1623,"+","mcr-1.1","phosphoethanolamine--lipid A transferase MCR-1.1","core","AMR","AMR","COLISTIN","COLISTIN","ALLELEX",541,541,100,100,541,"WP_049589868.1","phosphoethanolamine--lipid A transferase MCR-1.1",NA,NA,"ARO:3003689","MCR-1.1","Perfect","ARO:3000622,ARO:3000624","colistin A,colistin B","ARO:3000053,ARO:3000053","peptide antibiotic,peptide antibiotic","AMRFinderPlus-nt",100,"ARO:3003580","gene altering cell wall charge","cell wall charge"
NA,"GMGC10.057_408_442.EMRE",163,447,"+","qacE","quaternary ammonium compound efflux SMR transporter QacE","core","STRESS","BIOCIDE","QUATERNARY AMMONIUM","QUATERNARY AMMONIUM","PARTIALX",95,115,82.61,95.79,95,"WP_000679427.1","quaternary ammonium compound efflux SMR transporter QacE delta 1",NA,NA,"ARO:3005010","qacEdelta1","Perfect","ARO:3005386","disinfecting agents and antiseptics","ARO:3005386","disinfecting agents and antiseptics","AMRFinderPlus-nt",95.79,"ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
NA,"GMGC10.076_810_465.BLA",1,963,"+","blaSGM","SGM family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",321,321,100,98.75,321,"WP_009821475.1","extended-spectrum class A beta-lactamase SGM-1",NA,NA,"ARO:3006987","SGM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",98.75,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.080_110_257.BLA",1,609,"+","blaSGM","SGM family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIAL_CONTIG_ENDX",203,321,63.24,94.09,203,"WP_009821475.1","extended-spectrum class A beta-lactamase SGM-1",NA,NA,"ARO:3006987","SGM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",94.09,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.083_773_284.YBXI",1,567,"+","blaOXA","OXA-548 family class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIAL_CONTIG_ENDX",189,290,65.17,100,189,"WP_087587939.1","class D beta-lactamase OXA-548",NA,NA,"ARO:3005772","OXA-548","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.087_819_833.GPT",1,462,"+","tet(34)","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","BLASTX",154,154,100,90.26,154,"WP_005592781.1","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)",NA,NA,"ARO:3002870","tet(34)","Manual","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",90.26,"ARO:3000012","protein(s) conferring antibiotic resistance via molecular bypass","molecular bypass"
NA,"GMGC10.094_336_243.GPT",1,462,"+","tet(34)","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","BLASTX",154,154,100,90.91,154,"WP_005592781.1","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)",NA,NA,"ARO:3002870","tet(34)","Manual","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",90.91,"ARO:3000012","protein(s) conferring antibiotic resistance via molecular bypass","molecular bypass"
NA,"GMGC10.095_521_167.GPT",1,462,"+","tet(34)","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)","core","AMR","AMR","TETRACYCLINE","TETRACYCLINE","BLASTX",154,154,100,90.26,154,"WP_005592781.1","oxytetracycline resistance phosphoribosyltransferase domain-containing protein Tet(34)",NA,NA,"ARO:3002870","tet(34)","Manual","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","AMRFinderPlus-nt",90.26,"ARO:3000012","protein(s) conferring antibiotic resistance via molecular bypass","molecular bypass"
NA,"GMGC10.114_752_764.UNKNOWN",1,471,"+","dfrA46","trimethoprim-resistant dihydrofolate reductase DfrA46","core","AMR","AMR","TRIMETHOPRIM","TRIMETHOPRIM","BLASTX",157,157,100,99.36,157,"WP_063844461.1","trimethoprim-resistant dihydrofolate reductase DfrA46",NA,NA,"ARO:3004547","dfrA6","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","AMRFinderPlus-nt",99.36,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
NA,"GMGC10.114_754_188.YISX",1,654,"+","qnrS2","quinolone resistance pentapeptide repeat protein QnrS2","core","AMR","AMR","QUINOLONE","QUINOLONE","ALLELEX",218,218,100,100,218,"WP_012537714.1","quinolone resistance pentapeptide repeat protein QnrS2",NA,NA,"ARO:3002791","QnrS2","Perfect","ARO:0000036,ARO:0000071,ARO:0000074,ARO:3000659,ARO:3000661,ARO:3000662,ARO:3000666","ciprofloxacin,levofloxacin,moxifloxacin,gatifloxacin,nalidixic acid,norfloxacin,sparfloxacin","ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001,ARO:0000001","fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic,fluoroquinolone antibiotic","AMRFinderPlus-nt",100,"ARO:3000419","quinolone resistance protein (qnr)","qnr"
NA,"GMGC10.126_728_695.FOSB",22,414,"+","fosF","fosfomycin resistance glutathione transferase FosF","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","BLASTX",131,132,99.24,93.13,131,"WP_063851231.1","fosfomycin resistance glutathione transferase FosF",NA,NA,"ARO:3003207","FosK","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",93.13,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.129_290_018.YBXI",1,825,"+","blaOXA","OXA-266 family class D beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","BLASTX",275,275,100,99.27,275,"WP_004878009.1","class D beta-lactamase OXA-266",NA,NA,"ARO:3001722","OXA-266","Perfect","ARO:0000056,ARO:3000008","oxacillin,penicillin beta-lactam","ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",99.27,"ARO:3000075","class D beta-lactamase","class D beta-lactamase"
NA,"GMGC10.134_505_125.BLA",10,498,"+","blaSGM","SGM family class A beta-lactamase","core","AMR","AMR","BETA-LACTAM","BETA-LACTAM","PARTIAL_CONTIG_ENDX",163,321,50.78,92.02,163,"WP_009821475.1","extended-spectrum class A beta-lactamase SGM-1",NA,NA,"ARO:3006987","SGM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",92.02,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.144_509_741.MBL1",1,909,"+","blaECM","ECM family subclass B3 metallo-beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",303,303,100,97.03,303,"WP_122630824.1","subclass B3 metallo-beta-lactamase ECM-1",NA,NA,"ARO:3006882","ECM-1","Perfect","ARO:0000020","carbapenem","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",97.03,"ARO:3000004","class B (metallo-) beta-lactamase","class B beta-lactamase"
NA,"GMGC10.145_577_855.UNKNOWN",1,450,"+","dfrA1","trimethoprim-resistant dihydrofolate reductase DfrA1","core","AMR","AMR","TRIMETHOPRIM","TRIMETHOPRIM","BLASTX",150,157,95.54,99.33,150,"WP_000777554.1","trimethoprim-resistant dihydrofolate reductase DfrA1",NA,NA,"ARO:3002854","dfrA1","Strict","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","AMRFinderPlus-nt",99.33,"ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
NA,"GMGC10.145_590_047.FOLP",34,846,"+","sul2","sulfonamide-resistant dihydropteroate synthase Sul2","core","AMR","AMR","SULFONAMIDE","SULFONAMIDE","EXACTX",271,271,100,100,271,"WP_001043260.1","sulfonamide-resistant dihydropteroate synthase Sul2",NA,NA,"ARO:3000412","sul2","Perfect","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","AMRFinderPlus-nt",100,"ARO:3004238","sulfonamide resistant sul","sul"
NA,"GMGC10.145_594_649.FOSB",37,453,"+","fosA","FosA5 family fosfomycin resistance glutathione transferase","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","BLASTX",139,139,100,97.12,139,"WP_004146118.1","FosA5 family fosfomycin resistance glutathione transferase",NA,NA,"ARO:3004111","FosA6","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",97.12,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.145_598_553.ERMA",151,885,"+","erm(B)","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)","core","AMR","AMR","LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN","CLINDAMYCIN/ERYTHROMYCIN/STREPTOGRAMIN B","EXACTX",245,245,100,100,245,"WP_002292226.1","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B)",NA,NA,"ARO:3000375","ErmB","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",100,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
NA,"GMGC10.145_610_981.FOLP",1,429,"+","sul2","sulfonamide-resistant dihydropteroate synthase Sul2","core","AMR","AMR","SULFONAMIDE","SULFONAMIDE","PARTIALX",143,272,52.94,97.22,144,"WP_011453052.1","sulfonamide-resistant dihydropteroate synthase Sul2",NA,NA,"ARO:3000412","sul2","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","AMRFinderPlus-nt",97.22,"ARO:3004238","sulfonamide resistant sul","sul"
NA,"GMGC10.145_665_551.BLA",1,873,"+","blaCTX-M-3","extended-spectrum class A beta-lactamase CTX-M-3","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","ALLELEX",291,291,100,100,291,"WP_011091028.1","extended-spectrum class A beta-lactamase CTX-M-3",NA,NA,"ARO:3001866","CTX-M-3","Perfect","ARO:0000008,ARO:0000032,ARO:0000058,ARO:0000060,ARO:0000062,ARO:3000637,ARO:3000646,ARO:3000704","cefoxitin,cephalosporin,cefazolin,ceftazidime,ceftriaxone,ampicillin,cefixime,cefalotin","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","AMRFinderPlus-nt",100,"ARO:3000078","class A beta-lactamase","class A beta-lactamase"
NA,"GMGC10.145_677_456.RLMN",220,813,"+","cfr(E)","23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(E)","core","AMR","AMR","PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN","LINCOSAMIDE/LINEZOLID/THIAMPHENICOL/TIAMULIN/VIRGINIAMYCIN","PARTIAL_CONTIG_ENDX",198,344,57.56,100,198,"WP_105119688.1","23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(E)",NA,NA,"ARO:3005023","cfrE","Perfect","ARO:0000017,ARO:0000026,ARO:3000079,ARO:3000456,ARO:3000671","lincosamide antibiotic,streptogramin antibiotic,oxazolidinone antibiotic,thiamphenicol,tiamulin","ARO:0000017,ARO:0000026,ARO:3000079,ARO:3000387,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,oxazolidinone antibiotic,phenicol antibiotic,pleuromutilin antibiotic","AMRFinderPlus-nt",100,"ARO:3000519","antibiotic target modifying enzyme","target-modifying enzyme"
NA,"GMGC10.145_712_738.ERMX",331,1128,"+","erm(F)","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)","core","AMR","AMR","LINCOSAMIDE/MACROLIDE/STREPTOGRAMIN","CLINDAMYCIN/MACROLIDE/STREPTOGRAMIN","BLASTX",266,266,100,99.62,266,"WP_002682030.1","23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(F)",NA,NA,"ARO:3000498","ErmF","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","AMRFinderPlus-nt",99.62,"ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
NA,"GMGC10.145_779_096.STRB",1,630,"+","aph(6)-Id","aminoglycoside O-phosphotransferase APH(6)-Id","core","AMR","AMR","AMINOGLYCOSIDE","STREPTOMYCIN","PARTIALX",210,278,75.54,100,210,"WP_000480972.1","aminoglycoside O-phosphotransferase APH(6)-Id",NA,NA,"ARO:3002660","APH(6)-Id","Strict","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000151","APH(6)","aph"
NA,"GMGC10.145_896_204.UNKNOWN",1,657,"+","npmA","16S rRNA (adenine(1408)-N(1))-methyltransferase NpmA","core","AMR","AMR","AMINOGLYCOSIDE","AMINOGLYCOSIDE","EXACTX",219,219,100,100,219,"WP_032492089.1","16S rRNA (adenine(1408)-N(1))-methyltransferase NpmA",NA,NA,"ARO:3002665","npmA","Perfect","ARO:0000005,ARO:0000013,ARO:0000021,ARO:3004015","neomycin,amikacin,ribostamycin,gentamicin A","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","AMRFinderPlus-nt",100,"ARO:3000519","antibiotic target modifying enzyme","target-modifying enzyme"
NA,"GMGC10.145_921_800.UNKNOWN",1,519,"+","lnu(E)","lincosamide nucleotidyltransferase Lnu(E)","core","AMR","AMR","LINCOSAMIDE","LINCOSAMIDE","EXACTX",173,173,100,100,173,"WP_063851343.1","lincosamide nucleotidyltransferase Lnu(E)",NA,NA,"ARO:3003762","lnuE","Perfect","ARO:0000046","lincomycin","ARO:0000017","lincosamide antibiotic","AMRFinderPlus-nt",100,"ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
NA,"GMGC10.145_933_065.AMPC",130,1272,"+","blaCMY","CMY-2 family class C beta-lactamase","core","AMR","AMR","BETA-LACTAM","CEPHALOSPORIN","BLASTX",381,381,100,93.44,381,"WP_328703055.1","class C beta-lactamase CMY-190",NA,NA,"ARO:3008125","CMY-190","Perfect","ARO:3009106","second-generation cephalosporin","ARO:3000007","beta-lactam antibiotic","AMRFinderPlus-nt",93.44,"ARO:3000076","class C beta-lactamase","class C beta-lactamase"
NA,"GMGC10.145_936_922.FOSB",1,378,"+","fosA7","FosA7 family fosfomycin resistance glutathione transferase","core","AMR","AMR","FOSFOMYCIN","FOSFOMYCIN","BLASTX",126,140,90,92.06,126,"WP_079820715.1","fosfomycin resistance glutathione transferase FosA7.8",NA,NA,"ARO:3004113","FosA7","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","AMRFinderPlus-nt",92.06,"ARO:3000342","fosfomycin inactivation enzyme","fos"
NA,"GMGC10.145_949_846.DDL",1,1047,"+","vanG","D-alanine--D-serine ligase VanG2","core","AMR","AMR","GLYCOPEPTIDE","VANCOMYCIN","BLASTX",349,349,100,91.69,349,"WP_063856696.1","D-alanine--D-serine ligase VanG2",NA,NA,"ARO:3002909","vanG","Strict","ARO:0000028","vancomycin","ARO:3000081","glycopeptide antibiotic","AMRFinderPlus-nt",91.69,"ARO:3002976","gene(s) or protein(s) associated with a glycopeptide resistance cluster","van"
NA,"GMGC10.145_951_671.RLMN",1,801,"+","cfr(C)","23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(C)","core","AMR","AMR","PHENICOL/LINCOSAMIDE/OXAZOLIDINONE/PLEUROMUTILIN/STREPTOGRAMIN","CHLORAMPHENICOL/CLINDAMYCIN/FLORFENICOL/LINEZOLID/STREPTOGRAMIN/TIAMULIN","PARTIALX",267,379,70.45,99.63,267,"WP_111690898.1","23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr(C)",NA,NA,"ARO:3005023","cfrE","Loose","ARO:0000017,ARO:0000026,ARO:3000079,ARO:3000456,ARO:3000671","lincosamide antibiotic,streptogramin antibiotic,oxazolidinone antibiotic,thiamphenicol,tiamulin","ARO:0000017,ARO:0000026,ARO:3000079,ARO:3000387,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,oxazolidinone antibiotic,phenicol antibiotic,pleuromutilin antibiotic","AMRFinderPlus-nt",99.63,"ARO:3000519","antibiotic target modifying enzyme","target-modifying enzyme"
NA,"GMGC10.146_036_295.FOLP",4,837,"+","sul1","sulfonamide-resistant dihydropteroate synthase Sul1","core","AMR","AMR","SULFONAMIDE","SULFONAMIDE","BLASTX",278,283,98.23,100,278,"WP_007929940.1","sulfonamide-resistant dihydropteroate synthase Sul1",NA,NA,"ARO:3000410","sul1","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","AMRFinderPlus-nt",100,"ARO:3004238","sulfonamide resistant sul","sul"
