"gene","Identity","Alignment.Length.Gene.Length","Coverage","Position.in.reference","query","Position.in.contig","Phenotype","Accession.no.","ARO","ARO_name","Cut_Off","confers_resistance_to","confers_resistance_to_names","resistance_to_drug_classes","resistance_to_drug_classes_names","pipeline","id","ARG.class","parent","parent_description","geneclass_argcompare"
"catS",88.45,"537/537",100,"1..537","GMGC10.052_522_884.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",88.45,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"nimC",97.16,"493/492",99.7967479674797,"1..492","GMGC10.052_573_948.UNKNOWN","19..510","Metronidazole","X76948","ARO:3007105","nimC","Perfect","ARO:3000689","metronidazole","ARO:3004115","nitroimidazole antibiotic","ResFinder",97.16,"Nitroimidazole","ARO:3007103","nitroimidazole reductase","nim"
"tet(D)",100,"1185/1185",100,"1..1185","GMGC10.052_578_286.TETA","1..1185","Doxycycline, Tetracycline","AF467077","ARO:3000168","tet(D)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",100,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"tet(57)",84.84,"1181/1197",98.3291562238931,"1..1179","GMGC10.052_632_885.TETA","1..1179","Doxycycline, Tetracycline","KP137702","ARO:3005006","tet(57)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",84.84,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"ant(6)-Ia",95.08,"549/864",63.5416666666667,"1..549","GMGC10.052_695_495.AADK","1..549","Streptomycin","KF421157","ARO:3002626","ANT(6)-Ia","Perfect","ARO:0000040","streptomycin","ARO:0000016","aminoglycoside antibiotic","ResFinder",95.08,"Aminoglycoside","ARO:3000225","ANT(6)","ant"
"nimB",99.6,"495/495",100,"1..495","GMGC10.052_840_626.UNKNOWN","1..495","Metronidazole","X71443","ARO:3004655","nimB","Perfect","ARO:3000689","metronidazole","ARO:3004115","nitroimidazole antibiotic","ResFinder",99.6,"Nitroimidazole","ARO:3007103","nitroimidazole reductase","nim"
"catS",84.76,"538/537",99.8137802607076,"1..537","GMGC10.052_855_046.CAT","1..537","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.76,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"aac(6')-Ii",99.64,"549/549",100,"1..549","GMGC10.052_873_406.UNKNOWN","1..549","Tobramycin, Dibekacin, Gentamicin, Sisomicin, Netilmicin","L12710","ARO:3002556","AAC(6')-Ii","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",99.64,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
"sul2",100,"522/816",63.9705882352941,"295..816","GMGC10.053_243_090.FOLP","79..600","Sulfamethoxazole","AJ830710","ARO:3000412","sul2","Strict","ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699","sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole","ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282","sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3004238","sulfonamide resistant sul","sul"
"blaACC-3",93.42,"1170/1170",100,"1..1170","GMGC10.053_281_364.AMPC","1..1170","Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefotaxime, Cefoxitin, Ceftazidime, Piperacillin, Piperacillin+Tazobactam, Ticarcillin, Ticarcillin+Clavulanic acid","AF180958","ARO:3001817","ACC-3","Strict","ARO:0000004,ARO:0000032,ARO:0000060,ARO:3000008","monobactam,cephalosporin,ceftazidime,penicillin beta-lactam","ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007","beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic","ResFinder",93.42,"Beta-lactam","ARO:3000076","class C beta-lactamase","class C beta-lactamase"
"cat(pC221)",97.69,"648/648",100,"1..648","GMGC10.053_497_375.CAT","1..648","Chloramphenicol","X02529","ARO:3004457","Staphylococcus intermedius chloramphenicol acetyltransferase","Strict","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",97.69,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"tet(B)",100,"1206/1206",100,"1..1206","GMGC10.053_518_929.TETA","58..1263","Doxycycline, Tetracycline, Minocycline","AF326777","ARO:3000166","tet(B)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",100,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"dfrD",100,"489/489",100,"1..489","GMGC10.053_757_883.FOLA","13..501","Trimethoprim","Z50141","ARO:3002866","dfrD","Strict","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"cepA",99.78,"903/903",100,"1..903","GMGC10.053_801_695.UNKNOWN","145..1047","Unknown Beta-lactam","U05887","ARO:3006225","CepA-44","Strict","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",99.78,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"tet(Q)",94.65,"1926/1926",100,"1..1926","GMGC10.054_092_934.TETP","1..1926","Doxycycline, Tetracycline, Minocycline","X58717","ARO:3000191","tet(Q)","Strict","ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668","tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline","ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050","tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic","ResFinder",94.65,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"tet(L)",99.85,"1351/1377",98.1118373275236,"27..1377","GMGC10.054_105_342.UNKNOWN","54..1404","Doxycycline, Tetracycline, Minocycline, Tigecycline, Doxycycline, Tetracycline","M29725","ARO:3000179","tet(L)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99.85,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"erm(B)",100,"507/738",68.6991869918699,"169..675","GMGC10.054_147_210.ERMA","115..621","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","X72021","ARO:3000375","ErmB","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"catA3",99.84,"642/642",100,"1..642","GMGC10.054_165_833.CAT","1..642","Chloramphenicol","X07848","ARO:3002685","catIII","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",99.84,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"mef(A)",97.78,"1218/1218",100,"1..1218","GMGC10.054_170_494.UNKNOWN","1..1218","Erythromycin, Azithromycin","U83667","ARO:3000616","mel","Loose","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ResFinder",97.78,"Macrolide","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"tet(W)",99.48,"1920/1920",100,"1..1920","GMGC10.054_204_696.TETP","1..1920","Doxycycline, Tetracycline, Minocycline","AY049983","ARO:3007124","tet(W/32/O)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",99.48,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"fosA7",92.43,"423/423",100,"1..423","GMGC10.054_222_728.FOSB","1..423","Fosfomycin","LAPJ01000014","ARO:3004113","FosA7","Perfect","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",92.43,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"dfrA26",100,"552/552",100,"1..552","GMGC10.054_223_532.FOLA","1..552","Trimethoprim","AM403715","ARO:3002857","dfrA26","Perfect","ARO:3000188","trimethoprim","ARO:3000171","diaminopyrimidine antibiotic","ResFinder",100,"Folate pathway antagonist","ARO:3003425","antibiotic resistant dihydrofolate reductase","dfr"
"tetA(46)",92.52,"1725/1725",100,"1..1725","GMGC10.054_280_868.MDLA","1..1725","Doxycycline, Tetracycline, Tigecycline","HQ652506","ARO:3004032","tetA(46)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",92.52,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"nimA",98.57,"489/531",91.9020715630885,"1..488","GMGC10.054_351_401.NIMA","130..618","Metronidazole","X71444","ARO:3007104","nimA","Perfect","ARO:3000689","metronidazole","ARO:3004115","nitroimidazole antibiotic","ResFinder",98.57,"Nitroimidazole","ARO:3007103","nitroimidazole reductase","nim"
"lsa(C)",91.82,"1479/1479",100,"1..1479","GMGC10.054_400_198.LSA","1..1479","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin","HM990671","ARO:3003112","lsaC","Perfect","ARO:0000026,ARO:0000046,ARO:0000066,ARO:3001317","streptogramin antibiotic,lincomycin,clindamycin,pleuromutilin","ARO:0000017,ARO:0000017,ARO:0000026,ARO:3000670","lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",91.82,"Lincosamide, Streptogramin A, Pleuromutilin","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"lsa(A)",100,"1497/1497",100,"1..1497","GMGC10.054_415_784.LSA","1..1497","Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M","AY737526","ARO:3000300","lsaA","Strict","ARO:0000066,ARO:3000584,ARO:3000674,ARO:3001317","clindamycin,quinupristin,dalfopristin,pleuromutilin","ARO:0000017,ARO:0000026,ARO:0000026,ARO:3000670","lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,pleuromutilin antibiotic","ResFinder",100,"Lincosamide, Streptogramin A","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"erm(G)",99.8,"502/735",68.2993197278912,"234..735","GMGC10.054_473_128.ERMA","78..579","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","M15332","ARO:3000522","ErmG","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",99.8,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"catA1",99.85,"660/660",100,"1..660","GMGC10.054_629_957.CAT","58..717","Chloramphenicol","V00622","ARO:3002683","catA1","Perfect","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",99.85,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"erm(F)",99.75,"801/801",99.8751560549313,"1..801","GMGC10.054_678_768.ERMX","1..800","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","M17808","ARO:3000498","ErmF","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",99.75,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"cat",95.7,"651/651",100,"1..651","GMGC10.054_717_880.CAT","1..651","Chloramphenicol","S48276","ARO:3004460","Vibrio anguillarum chloramphenicol acetyltransferase","Perfect","ARO:3000385","chloramphenicol","ARO:3000387","phenicol antibiotic","ResFinder",95.7,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"mef(A)",98.44,"1218/1218",100,"1..1218","GMGC10.054_857_614.UNKNOWN","130..1347","Erythromycin, Azithromycin","HG423652","ARO:3000616","mel","Loose","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ResFinder",98.44,"Macrolide","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"lnu(F)",99.75,"815/822",99.1484184914842,"1..815","GMGC10.054_982_022.SCLAV_1890","73..887","Lincomycin","AJ561197","ARO:3002839","lnuF","Perfect","ARO:0000046,ARO:0000066","lincomycin,clindamycin","ARO:0000017,ARO:0000017","lincosamide antibiotic,lincosamide antibiotic","ResFinder",99.75,"Lincosamide","ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
"tet(44)",92.26,"1176/1923",61.1544461778471,"739..1914","GMGC10.055_007_893.TETP","1..1176","Doxycycline, Tetracycline, Minocycline","NZ_ABDU01000081","ARO:3000556","","","","","","","ResFinder",92.26,"Tetracycline","ARO:0000002","tetracycline-resistant ribosomal protection protein","tet RPG"
"erm(F)",100,"801/801",100,"1..801","GMGC10.055_059_707.ERMX","211..1011","Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S","M17808","ARO:3000498","ErmF","Strict","ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867","erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin","ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026","macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic","ResFinder",100,"Macrolide, Lincosamide, Streptogramin B","ARO:3000560","Erm 23S ribosomal RNA methyltransferase","erm"
"cepA-44",100,"903/903",100,"1..903","GMGC10.055_136_659.UNKNOWN","1..903","Unknown Beta-lactam","U05885","ARO:3006225","CepA-44","Perfect","ARO:0000032","cephalosporin","ARO:3000007","beta-lactam antibiotic","ResFinder",100,"Beta-lactam","ARO:3000078","class A beta-lactamase","class A beta-lactamase"
"mef(A)",95.07,"1218/1218",100,"1..1218","GMGC10.055_149_064.UNKNOWN","1..1218","Erythromycin, Azithromycin","AF227520","ARO:3000616","mel","Perfect","ARO:0000006,ARO:0000026,ARO:0000057","erythromycin,streptogramin antibiotic,telithromycin","ARO:0000000,ARO:0000000,ARO:0000026","macrolide antibiotic,macrolide antibiotic,streptogramin antibiotic","ResFinder",95.07,"Macrolide","ARO:3004469","ABC-F ATP-binding cassette ribosomal protection protein","abcF"
"lnu(B)",96.02,"804/804",100,"1..804","GMGC10.055_274_912.SCLAV_1890","43..846","Lincomycin, Clindamycin","JQ861959","ARO:3002836","lnuB","Strict","ARO:0000046,ARO:0000066","lincomycin,clindamycin","ARO:0000017,ARO:0000017","lincosamide antibiotic,lincosamide antibiotic","ResFinder",96.02,"Lincosamide","ARO:3000221","lincosamide nucleotidyltransferase (LNU)","lnu"
"catS",84.5,"400/537",74.1154562383613,"139..537","GMGC10.055_287_435.CAT","1..399","Chloramphenicol","X74948","ARO:3002688","catS","Strict","ARO:3000382,ARO:3000385,ARO:3000456","azidamfenicol,chloramphenicol,thiamphenicol","ARO:3000387,ARO:3000387,ARO:3000387","phenicol antibiotic,phenicol antibiotic,phenicol antibiotic","ResFinder",84.5,"Amphenicol","ARO:3000122","chloramphenicol acetyltransferase (CAT)","cat"
"OqxA",86.25,"1178/1176",99.8299319727891,"1..1176","GMGC10.055_339_842.MEXE","1..1176","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",86.25,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"fosA",96.01,"426/426",100,"1..426","GMGC10.055_340_411.FOSB","61..486","Fosfomycin","M85195","ARO:3002804","FosA2","Strict","ARO:0000025","fosfomycin","ARO:3007149","phosphonic acid antibiotic","ResFinder",96.01,"Fosfomycin","ARO:3000342","fosfomycin inactivation enzyme","fos"
"tetA(46)",92.46,"1725/1725",100,"1..1725","GMGC10.055_390_484.MDLA","1..1725","Doxycycline, Tetracycline, Tigecycline","HQ652506","ARO:3004032","tetA(46)","Perfect","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",92.46,"Tetracycline","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"tetA(P)",82.27,"1224/1263",95.8036421219319,"1..1217","GMGC10.055_510_574.UNKNOWN","1..1217","Doxycycline, Tetracycline","AB001076","ARO:3000180","tetA(P)","Strict","ARO:0000051","tetracycline","ARO:3000050","tetracycline antibiotic","ResFinder",82.27,"Tetracycline","ARO:0010002","major facilitator superfamily (MFS) antibiotic efflux pump","MFS efflux pump"
"fusC",100,"639/639",100,"1..639","GMGC10.055_542_887.BL00799","16..654","Fusidic acid","KF527883","ARO:3003733","fusC","Perfect","ARO:3000759","fusidic acid","ARO:3007153","fusidane antibiotic","ResFinder",100,"Steroid antibacterial","ARO:3005086","Target protecting FusB-type protein conferring resistance to Fusidic acid","fusB-type"
"OqxA",85.57,"1178/1176",99.8299319727891,"1..1176","GMGC10.055_543_337.MEXE","1..1176","Chloramphenicol, Nalidixic acid, Ciprofloxacin, Trimethoprim","EU370913","ARO:3003922","oqxA","Perfect","ARO:0000030,ARO:0000036,ARO:0000075,ARO:3000188","tigecycline,ciprofloxacin,nitrofurantoin,trimethoprim","ARO:0000001,ARO:3000050,ARO:3000171,ARO:3004116","fluoroquinolone antibiotic,tetracycline antibiotic,diaminopyrimidine antibiotic,nitrofuran antibiotic","ResFinder",85.57,"Amphenicol, Quinolone, Folate pathway antagonist","ARO:3000159","efflux pump complex or subunit conferring antibiotic resistance","efflux pump"
"aac(6')-If",100,"435/435",100,"1..435","GMGC10.055_571_113.AACA7","1..435","Tobramycin, Dibekacin, Amikacin, Sisomicin, Netilmicin","X55353","ARO:3002553","AAC(6')-If","Perfect","ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379","dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin","ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016","aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic","ResFinder",100,"Aminoglycoside","ARO:3000345","AAC(6')","aac"
